Hotel Name,City,Country,Max Temp,Lat,Lng,Hotel Name
288,Coahuayana,MX,85.57,18.7333,-103.6833,El rranchito michuacan de ocampos
290,Morondava,MG,74.17,-20.2833,44.2833,La Case Bambou
294,Tessalit,ML,88.07,20.1986,1.0114,
295,Taklisah,TN,79.54,36.7833,10.6333,Takelsa vineyard
296,Khash,IR,70.65,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
297,Lagos,NG,73.72,6.5833,3.75,
301,Steamboat Springs,US,81.27,40.485,-106.8317,Steamboat Grand
302,Bosaso,SO,89.98,11.2842,49.1816,Red Sea Hotel
303,Tari,NG,81.43,12.4086,4.4914,
305,Sao Felix Do Xingu,BR,81.61,-6.6447,-51.995,Rio Xingu Camping
306,General Roca,AR,75.6,-39.0333,-67.5833,Hotel y Casino del Río General Roca
307,Calama,CL,71.51,-22.4667,-68.9333,Diego De Almagro Calama
308,Maine-Soroa,NE,87.13,13.2114,12.0241,Complexe
311,Itoman,JP,80.62,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
312,Innisfail,AU,73.26,-17.5333,146.0333,Moondarra Motel
313,Takoradi,GH,76.42,4.8845,-1.7554,Raybow International Hotel
315,Santa Cruz Del Sur,CU,85.32,20.7147,-77.9956,
317,Bara,NG,74.46,10.3744,10.7288,
318,Dawlatabad,AF,71.22,36.4141,64.9053,WASIM ASGAR KHAN
319,Mayo,US,76.21,38.8876,-76.5119,Resorts Resource Group International
321,Huilong,CN,72.99,31.8111,121.655,Hilton Garden Inn Qidong
322,Russell,US,81.97,32.3502,-85.1999,Macs
323,Kuliyapitiya,LK,82.08,7.4688,80.0401,Rest House
325,Luanda,AO,75.2,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
326,Lamu,KE,75.42,-2.2717,40.902,Lamu House
329,Denpasar,ID,76.71,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
330,Souillac,MU,72.36,-20.5167,57.5167,Shanti Maurice Resort & Spa
332,Barhi,IN,75.38,23.9,80.8,"Govt , st senior boys hostel Barhi"
337,Tucupita,VE,80.15,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
338,Inirida,CO,79.5,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
340,Mecca,SA,87.78,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
342,Madang,PG,79.92,-5.2246,145.7966,Comfort Inn Hotel
343,Senanga,ZM,71.47,-16.1167,23.2667,Zango lodge
344,Filadelfia,US,76.98,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
348,Hobyo,SO,77.49,5.3505,48.5268,Halane Hotel and Restaurent
351,Tabas,IR,82.45,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
352,Pasni,PK,80.49,25.2631,63.471,Kashmiri Hotal
354,Salgueiro,BR,79.59,-8.0742,-39.1192,Hotel Requinte
355,Sao Filipe,CV,78.66,14.8961,-24.4956,Hotel Xaguate
356,Singkang,MY,78.69,2.1006,102.7994,Kampung Seri Makmor Pagoh
357,Farah,AF,74.34,32.5,62.5,
359,Tigzirt,DZ,75.92,36.8886,4.1198,Bloc D tazoumbirt (amar)
361,Tortoli,IT,77.99,39.9256,9.6572,Hotel La Bitta
365,Agadez,NE,83.88,19.75,10.25,
367,Sokoto,NG,83.25,13.0609,5.239,Shukura Coral Hotel
369,Fonte Boa,BR,79.36,-2.4959,-66.2662,
372,Meulaboh,ID,75.88,4.1363,96.1285,Kost Pria
374,Houston,US,89.06,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
376,Port-Gentil,GA,76.96,-0.7193,8.7815,Fengshui Residence
377,Miri,MY,77.14,4.4148,114.0089,"Mega Hotel, Miri"
378,Guerrero Negro,MX,76.91,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
380,Quelimane,MZ,73.35,-17.8786,36.8883,Hotel Flamingo
381,Vila Franca Do Campo,PT,73.2,37.7167,-25.4333,Pestana Bahia Praia
382,Gimli,CA,76.42,50.6336,-96.9907,Lakeview Gimli Resort
383,Eyl,SO,77.4,7.9803,49.8164,Amiin Hotel
386,Shimoda,JP,71.71,34.6667,138.95,Shimoda Tokyu Hotel
389,Fairmont,US,70.97,39.4851,-80.1426,Clarion Inn
390,Bar Bigha,IN,85.19,25.2167,85.7333,Raj Complex Maur
391,Carutapera,BR,79.63,-1.195,-46.02,Lidera
392,Bartica,GY,82.72,6.4,-58.6167,Sloth Island Nature Resort
396,Namatanai,PG,82.49,-3.6667,152.4333,Seagulls Inn Namatani
398,Parambu,BR,84.54,-6.2111,-40.6944,Hotel pousada santo onofre
399,Sarande,AL,70.18,39.8756,20.0053,Hotel Seaside Artist Saranda
402,Caravelas,BR,71.26,-17.7125,-39.2481,Pousada dos Navegantes
404,San Cristobal,VE,87.98,7.7669,-72.225,Posada Villaven C.A.
407,Maragogi,BR,75.24,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
410,Avera,US,80.44,33.194,-82.5271,
413,Parksville,CA,71.69,49.3163,-124.3195,Oceanside Village Resort Parksville
414,Luganville,VU,78.03,-15.5333,167.1667,The Espiritu Hotel
416,Mungeli,IN,75.78,22.0667,81.6833,JAI MAA DURGE LODGE
421,Mountain Home,US,84.81,43.133,-115.6912,Mountain Home Inn
422,Dong Hoi,VN,78.67,17.4833,106.6,Nam Long Hotel
426,Cap Malheureux,MU,72.46,-19.9842,57.6142,Pereybere Hotel & Spa
428,Tabou,CI,77.07,4.423,-7.3528,hotêl doufoulougou
430,Port Maria,JM,87.76,18.3685,-76.8895,Galina Breeze Hotel
433,Mpanda,TZ,72.55,-6.3655,31.0409,CH Hotel - Mpanda
434,Meadow Lake,US,86.83,34.8014,-106.5436,TumbleWeed RV Park
435,Gat,IL,72.81,31.61,34.7642,OlusHome
439,Susangerd,IR,87.82,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
443,Berbera,SO,88.09,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
445,Nouadhibou,MR,71.58,20.931,-17.0347,El Medina
448,Shenjiamen,CN,73.53,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
449,Bac Lieu,VN,76.73,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
453,Tukrah,LY,72.48,32.5341,20.5791,Lagrota restaurant
454,Sai Buri,TH,79.83,6.7013,101.6168,ร้าน​ เวดดิ้ง
458,Eydhafushi,MV,81.21,5.1033,73.0708,Soneva Fushi
460,Gidam,IN,72.79,18.9833,81.4,Dhanshree Lodge And DormItory
461,Salem,IN,74.89,11.65,78.1667,YMCA PROGRAM CENTRE
462,Lagoa,PT,70.52,39.05,-27.9833,Casa Das Faias
467,Espanola,US,86.27,35.9911,-106.0806,Santa Claran Hotel Casino
469,Tumaco,CO,79.77,1.7986,-78.8156,Dafneruben
471,Labrea,BR,78.26,-7.2586,-64.7981,Hotel Novo Horizonte
472,Mangan,IN,73.51,27.5167,88.5333,Hotel Mout View
474,Manta,EC,80.38,-0.95,-80.7333,Balandra Hotel
476,Viedma,AR,76.06,-40.8135,-62.9967,Hotel Cristal
479,Balaipungut,ID,77.41,1.05,101.2833,
482,Remedios,CU,88.72,22.4947,-79.5458,Hostal Yunai
485,Progreso,MX,93.31,21.2833,-89.6667,Playa Linda Hotel
486,Jacmel,HT,89.44,18.2342,-72.5347,Historic Hotel Florita
488,Kidal,ML,90.19,18.4411,1.4078,
489,Kavieng,PG,83.05,-2.5744,150.7967,Nusa Island Retreat
490,Ondjiva,AO,72.63,-17.0667,15.7333,SOS Motel
491,Catuday,PH,78.8,16.2923,119.8062,Benjie's Kubo & Cottages
492,Mbini,GQ,76.24,1.574,9.6134,
493,Lac Du Bonnet,CA,70.14,50.2536,-96.0612,Casey's Inn Motor Hotel
496,San Ignacio,BZ,91.54,17.1561,-89.0714,Rainforest Haven Inn
