City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
212,Bambous Virieux,-20.3428,57.7575,72.21,78,40,14.97,MU
213,Banda Aceh,5.5577,95.3222,78.42,84,100,14.38,ID
214,Tazmalt,36.3868,4.3989,84.06,38,100,1.92,DZ
215,Requena,39.4883,-1.1004,64.71,51,52,5.7,ES
216,Bridlington,54.0831,-0.1919,63.28,95,100,10.8,GB
217,Eureka,40.8021,-124.1637,71.67,79,48,4.0,US
218,Terni,42.6833,12.3167,65.21,77,100,2.75,IT
219,Zhuhai,22.2769,113.5678,83.91,74,20,10.36,CN
220,Roald,62.5833,6.1333,55.99,71,90,11.5,NO
221,Barauna,-5.08,-37.6167,83.3,70,20,15.86,BR
222,Ponta Delgada,37.7333,-25.6667,73.51,88,75,12.66,PT
223,Burgeo,47.6167,-57.6152,55.72,81,100,12.95,CA
224,Ust-Kut,56.7938,105.7672,33.85,98,100,4.21,RU
225,Hithadhoo,-0.6,73.0833,81.84,78,100,16.4,MV
226,Monrovia,6.3005,-10.7969,78.8,84,100,7.99,LR
227,Nortelandia,-14.4547,-56.8028,91.87,28,92,4.32,BR
228,Hami,42.8,93.45,54.57,22,0,11.1,CN
229,Hambantota,6.1241,81.1185,77.34,100,20,4.61,LK
230,Abaza,52.655,90.0928,35.6,76,100,2.21,RU
231,Bubaque,11.2833,-15.8333,82.69,76,93,8.46,GW
232,Great Yarmouth,52.6083,1.7305,61.41,97,90,9.22,GB
233,Sedona,34.8697,-111.761,81.59,39,1,3.0,US
234,Kedrovyy,56.1667,91.8167,34.21,90,100,4.83,RU
235,Luderitz,-26.6481,15.1594,61.95,53,35,15.05,NA
236,Taoudenni,22.6783,-3.9836,96.48,7,59,8.43,ML
237,Balotra,25.8333,72.2333,83.23,74,83,9.48,IN
238,Pontes E Lacerda,-15.2261,-59.3353,94.41,24,42,3.76,BR
239,Bolobo,-2.1667,16.2333,74.68,73,63,2.3,CD
240,Maple Creek,49.9168,-109.4848,86.05,17,62,11.5,CA
241,Muros,42.7762,-9.0603,65.08,91,11,5.53,ES
242,Aykhal,66.0,111.5,29.59,85,77,7.61,RU
243,Port Macquarie,-31.4333,152.9167,60.89,82,97,12.95,AU
244,Somers,42.6403,-87.9104,70.56,28,1,12.66,US
245,Fallon,39.4735,-118.7774,91.92,13,1,0.0,US
246,Hofn,64.2539,-15.2082,39.45,86,100,15.7,IS
247,Najran,17.4924,44.1277,74.05,17,93,3.56,SA
248,Tula,54.2044,37.6111,49.03,95,100,10.83,RU
249,Samarai,-10.6167,150.6667,79.7,86,66,12.97,PG
250,Egvekinot,66.3167,-179.1667,23.09,70,88,2.53,RU
251,Kathu,7.9178,98.3332,78.62,81,69,12.24,TH
252,Nantucket,41.2835,-70.0995,71.96,94,90,6.91,US
253,Maceio,-9.6658,-35.7353,80.04,83,20,10.36,BR
254,Bilma,18.6853,12.9164,88.5,13,1,7.81,NE
255,Kushima,31.4583,131.2333,69.84,88,75,8.03,JP
256,Bonavista,48.6499,-53.1147,55.4,76,100,14.27,CA
257,Arraial Do Cabo,-22.9661,-42.0278,71.56,73,0,23.02,BR
258,Sri Aman,1.2376,111.4621,73.45,94,100,0.0,MY
259,Kailua,21.4022,-157.7394,83.75,72,40,13.8,US
260,Kupang,-10.1667,123.5833,75.78,78,20,4.61,ID
261,Koulikoro,14.0,-7.75,77.9,68,65,2.53,ML
262,Puerto Colombia,10.9878,-74.9547,86.09,82,55,15.08,CO
263,Salalah,17.0151,54.0924,80.69,89,20,2.3,OM
264,Kaeo,-35.1,173.7833,58.32,93,29,8.3,NZ
265,Bandarbeyla,9.4942,50.8122,77.14,86,49,19.77,SO
266,Quatre Cocos,-20.2078,57.7625,72.09,78,29,17.96,MU
267,Cidreira,-30.1811,-50.2056,62.64,88,2,8.72,BR
268,Flinders,-34.5833,150.8552,55.2,70,95,7.0,AU
269,Dzilam Gonzalez,21.2833,-88.9333,86.04,63,43,10.04,MX
270,Bhadrachalam,17.6667,80.8833,76.53,95,100,2.21,IN
271,Palana,59.1167,159.9667,43.2,66,99,6.98,RU
272,Hazorasp,41.3194,61.0742,69.64,29,8,8.59,UZ
273,Murwillumbah,-28.3167,153.4,71.13,68,90,10.36,AU
274,Yenotayevka,47.2456,47.0281,56.53,82,100,12.91,RU
275,Georgetown,5.4112,100.3354,80.89,87,20,5.01,MY
276,Sao Joao Da Barra,-21.6403,-41.0511,71.69,74,100,23.11,BR
277,Alta Floresta,-9.8756,-56.0861,80.74,58,99,6.35,BR
278,Uson,12.2253,123.7834,78.53,90,100,3.78,PH
279,Roma,43.2128,-75.4557,74.43,55,1,4.61,US
280,Concepcion Del Uruguay,-32.4825,-58.2372,61.83,74,0,4.61,AR
281,Petatlan,17.5167,-101.2667,81.54,80,97,2.53,MX
282,Ust-Nera,64.5667,143.2,36.82,96,100,6.06,RU
283,Shache,38.4167,77.2406,66.04,21,0,4.88,CN
284,Plettenberg Bay,-34.0527,23.3716,60.82,63,42,6.91,ZA
285,Matara,5.9485,80.5353,78.12,88,79,11.7,LK
286,Kotelnikovo,47.6317,43.1461,51.33,79,27,8.5,RU
287,Narok,-1.0783,35.8601,56.57,83,70,5.44,KE
288,Coahuayana,18.7333,-103.6833,85.57,73,88,4.45,MX
289,Vanderhoof,54.0166,-124.0198,52.7,72,100,1.36,CA
290,Morondava,-20.2833,44.2833,74.17,77,14,11.63,MG
291,Jinchang,38.4953,102.1739,59.72,51,87,5.19,CN
292,Krosno,49.6887,21.7706,60.04,72,87,5.53,PL
293,Upernavik,72.7868,-56.1549,20.61,69,2,5.79,GL
294,Tessalit,20.1986,1.0114,88.07,9,0,11.59,ML
295,Taklisah,36.7833,10.6333,79.54,92,84,15.46,TN
296,Khash,28.2211,61.2158,70.65,11,59,3.11,IR
297,Lagos,6.5833,3.75,73.72,93,100,2.19,NG
298,Mount Gambier,-37.8333,140.7667,35.51,93,40,5.75,AU
299,Adelaide,-34.9333,138.6,51.19,71,0,10.36,AU
300,Atar,20.5169,-13.0499,96.67,21,98,7.43,MR
301,Steamboat Springs,40.485,-106.8317,81.27,16,1,16.11,US
302,Bosaso,11.2842,49.1816,89.98,49,63,7.72,SO
303,Tari,12.4086,4.4914,81.43,69,23,8.88,NG
304,Grindavik,63.8424,-22.4338,41.47,75,75,25.32,IS
305,Sao Felix Do Xingu,-6.6447,-51.995,81.61,56,87,0.92,BR
306,General Roca,-39.0333,-67.5833,75.6,23,30,26.84,AR
307,Calama,-22.4667,-68.9333,71.51,4,0,10.13,CL
308,Maine-Soroa,13.2114,12.0241,87.13,19,5,4.16,NE
309,Norman Wells,65.282,-126.8329,35.64,93,90,16.11,CA
310,Bazarnyye Mataki,54.8833,49.9333,45.19,91,100,4.32,RU
311,Itoman,26.1247,127.6694,80.62,92,20,3.44,JP
312,Innisfail,-17.5333,146.0333,73.26,72,56,5.26,AU
313,Takoradi,4.8845,-1.7554,76.42,90,100,6.49,GH
314,Narsaq,60.9167,-46.05,39.42,70,0,2.13,GL
315,Santa Cruz Del Sur,20.7147,-77.9956,85.32,69,24,8.28,CU
316,Tilichiki,60.4667,166.1,42.39,72,100,4.14,RU
317,Bara,10.3744,10.7288,74.46,83,86,6.91,NG
318,Dawlatabad,36.4141,64.9053,71.22,13,0,2.26,AF
319,Mayo,38.8876,-76.5119,76.21,57,1,4.0,US
320,Port Pirie,-33.1833,138.0167,53.69,51,0,7.67,AU
